Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
A,94.1999870886495,117.90588209324741,0.047099993544324745,0.05895294104662371
B,108.5878541850188,152.26941334200282,0.03619595139500627,0.05075647111400094
Total,151.6643691913222,191.51198757005284,0.03033287383826444,0.038302397514010565
